(u'wednesday may 23 1990', '1990-05-23')
(u'wednesday april 15 1987', '1987-04-15')
(u'thursday may 26 1977', '1977-05-26')
(u'20 aug 2000', '2000-08-20')
(u'22 jan 1997', '1997-01-22')
(u'5 jun 2004', '2004-06-05')
(u'june 1 2014', '2014-06-01')
(u'monday may 19 1980', '1980-05-19')
(u'monday august 1 1983', '1983-08-01')
(u'25 mar 2001', '2001-03-25')
(u'11 february 2006', '2006-02-11')
(u'3 oct 2003', '2003-10-03')
(u'aug 28 1972', '1972-08-28')
(u'07 aug 2008', '2008-08-07')
(u'saturday november 14 1981', '1981-11-14')
(u'jul 25 1973', '1973-07-25')
(u'12.05.17', '2017-05-12')
(u'august 7 1975', '1975-08-07')
(u'may 3 2016', '2016-05-03')
(u'sunday june 1 1980', '1980-06-01')
(u'sunday february 3 1980', '1980-02-03')
(u'september 24 2014', '2014-09-24')
(u'4 september 2005', '2005-09-04')
(u'27.11.16', '2016-11-27')
(u'12/6/71', '1971-12-06')
(u'26 may 2003', '2003-05-26')
(u'wednesday april 3 1991', '1991-04-03')
(u'tuesday july 19 1983', '1983-07-19')
(u'thursday november 22 1990', '1990-11-22')
(u'1 04 09', '2009-04-01')
(u'friday october 30 1992', '1992-10-30')
(u'july 29 2015', '2015-07-29')
(u'november 15 2015', '2015-11-15')
(u'11 august 1999', '1999-08-11')
(u'november 29 1975', '1975-11-29')
(u'monday june 14 1976', '1976-06-14')
(u'tuesday may 14 1996', '1996-05-14')
(u'9 07 10', '2010-07-09')
(u'08.12.18', '2018-12-08')
(u'15 february 2005', '2005-02-15')
(u'1/18/70', '1970-01-18')
(u'may 16 2014', '2014-05-16')
(u'21 december 1998', '1998-12-21')
(u'wednesday march 31 1976', '1976-03-31')
(u'25 apr 2004', '2004-04-25')
(u'november 30 2015', '2015-11-30')
(u'thursday may 26 1983', '1983-05-26')
(u'2 feb 1998', '1998-02-02')
(u'05 oct 2000', '2000-10-05')
(u'7 august 1999', '1999-08-07')
(u'wednesday july 2 1986', '1986-07-02')
(u'18 nov 1996', '1996-11-18')
(u'january 30 2015', '2015-01-30')
(u'27 dec 1996', '1996-12-27')
(u'saturday april 1 1978', '1978-04-01')
(u'17 dec 1997', '1997-12-17')
(u'16 june 2006', '2006-06-16')
(u'oct 16 1973', '1973-10-16')
(u'16 march 2012', '2012-03-16')
(u'saturday april 10 1993', '1993-04-10')
(u'tuesday july 1 1980', '1980-07-01')
(u'thursday november 27 1980', '1980-11-27')
(u'dec 6 1973', '1973-12-06')
(u'4 august 2011', '2011-08-04')
(u'4 02 10', '2010-02-04')
(u'wednesday april 11 1990', '1990-04-11')
(u'07.04.18', '2018-04-07')
(u'wednesday november 26 1980', '1980-11-26')
(u'3/1/70', '1970-03-01')
(u'10 08 10', '2010-08-10')
(u'23 mar 2007', '2007-03-23')
(u'friday november 24 1978', '1978-11-24')
(u'sunday august 18 1985', '1985-08-18')
(u'dec 3 1973', '1973-12-03')
(u'31 mar 1997', '1997-03-31')
(u'saturday january 13 1996', '1996-01-13')
(u'09 dec 2000', '2000-12-09')
(u'27 march 2011', '2011-03-27')
(u'17 june 2011', '2011-06-17')
(u'tuesday october 21 1986', '1986-10-21')
(u'sunday july 15 1990', '1990-07-15')
(u'monday june 13 1977', '1977-06-13')
(u'30 july 1998', '1998-07-30')
(u'thursday december 22 1988', '1988-12-22')
(u'19 jan 2004', '2004-01-19')
(u'wednesday november 14 1984', '1984-11-14')
(u'saturday august 22 1987', '1987-08-22')
(u'31 oct 2001', '2001-10-31')
(u'saturday may 7 1977', '1977-05-07')
(u'saturday august 1 1981', '1981-08-01')
(u'20 apr 1997', '1997-04-20')
(u'15 jul 2002', '2002-07-15')
(u'december 18 1975', '1975-12-18')
(u'friday february 2 1990', '1990-02-02')
(u'thursday march 5 1992', '1992-03-05')
(u'tuesday november 14 1989', '1989-11-14')
(u'may 9 1973', '1973-05-09')
(u'29 jul 2003', '2003-07-29')
(u'3 mar 2004', '2004-03-03')
(u'monday january 25 1982', '1982-01-25')
(u'wednesday march 27 1996', '1996-03-27')
(u'4 07 10', '2010-07-04')
(u'14 april 2006', '2006-04-14')
(u'6/21/70', '1970-06-21')
(u'tuesday july 23 1985', '1985-07-23')
(u'monday november 3 1980', '1980-11-03')
(u'7 july 2012', '2012-07-07')
(u'19 mar 2004', '2004-03-19')
(u'12 september 2006', '2006-09-12')
(u'8/26/70', '1970-08-26')
(u'21 june 2006', '2006-06-21')
(u'friday december 10 1976', '1976-12-10')
(u'wednesday january 10 1979', '1979-01-10')
(u'monday september 21 1992', '1992-09-21')
(u'1 october 1999', '1999-10-01')
(u'tuesday june 8 1982', '1982-06-08')
(u'10 march 2012', '2012-03-10')
(u'30 september 2005', '2005-09-30')
(u'05.04.17', '2017-04-05')
(u'saturday january 22 1977', '1977-01-22')
(u'friday january 22 1993', '1993-01-22')
(u'sunday december 13 1987', '1987-12-13')
(u'sunday may 28 1989', '1989-05-28')
(u'november 21 1974', '1974-11-21')
(u'april 10 2014', '2014-04-10')
(u'february 5 1976', '1976-02-05')
(u'jul 10 1972', '1972-07-10')
(u'11/2/70', '1970-11-02')
(u'25 sep 2008', '2008-09-25')
(u'16 july 2012', '2012-07-16')
(u'wednesday october 30 1985', '1985-10-30')
(u'friday april 27 1979', '1979-04-27')
(u'wednesday september 21 1983', '1983-09-21')
(u'wednesday february 13 1991', '1991-02-13')
(u'10 january 2000', '2000-01-10')
(u'sunday january 9 1983', '1983-01-09')
(u'24 march 2006', '2006-03-24')
(u'21 december 2005', '2005-12-21')
(u'june 22 2015', '2015-06-22')
(u'december 23 2015', '2015-12-23')
(u'18 june 2006', '2006-06-18')
(u'january 27 2016', '2016-01-27')
(u'28 feb 2008', '2008-02-28')
(u'monday december 5 1988', '1988-12-05')
(u'3/15/71', '1971-03-15')
(u'tuesday july 22 1980', '1980-07-22')
(u'march 30 2016', '2016-03-30')
(u'15 may 2002', '2002-05-15')
(u'14 01 10', '2010-01-14')
(u'oct 15 1972', '1972-10-15')
(u'17 jun 2008', '2008-06-17')
(u'tuesday september 20 1983', '1983-09-20')
(u'thursday june 7 1984', '1984-06-07')
(u'wednesday may 8 1991', '1991-05-08')
(u'21 october 2010', '2010-10-21')
(u'30 aug 2004', '2004-08-30')
(u'14.05.18', '2018-05-14')
(u'4/17/70', '1970-04-17')
(u'sunday may 19 1991', '1991-05-19')
(u'14 april 2000', '2000-04-14')
(u'monday december 2 1991', '1991-12-02')
(u'thursday january 19 1989', '1989-01-19')
(u'december 5 2013', '2013-12-05')
(u'monday november 28 1994', '1994-11-28')
(u'sunday june 12 1977', '1977-06-12')
(u'thursday december 22 1988', '1988-12-22')
(u'tuesday may 30 1989', '1989-05-30')
(u'tuesday december 27 1983', '1983-12-27')
(u'november 19 1974', '1974-11-19')
(u'26 december 2010', '2010-12-26')
(u'16 mar 2004', '2004-03-16')
(u'09.08.17', '2017-08-09')
(u'28 sep 2003', '2003-09-28')
(u'monday may 30 1994', '1994-05-30')
(u'january 30 2015', '2015-01-30')
(u'26 january 2000', '2000-01-26')
(u'april 30 2013', '2013-04-30')
(u'june 26 2013', '2013-06-26')
(u'monday september 13 1993', '1993-09-13')
(u'sunday may 18 1980', '1980-05-18')
(u'tuesday november 4 1986', '1986-11-04')
(u'march 18 2013', '2013-03-18')
(u'tuesday june 19 1990', '1990-06-19')
(u'friday april 21 1989', '1989-04-21')
(u'sunday october 26 1980', '1980-10-26')
(u'04 oct 2007', '2007-10-04')
(u'1/30/70', '1970-01-30')
(u'8 june 2012', '2012-06-08')
(u'friday november 25 1977', '1977-11-25')
(u'friday june 20 1980', '1980-06-20')
(u'saturday june 25 1983', '1983-06-25')
(u'tuesday november 20 1990', '1990-11-20')
(u'2 jul 1998', '1998-07-02')
(u'3 september 2006', '2006-09-03')
(u'wednesday august 4 1993', '1993-08-04')
(u'7 jan 2003', '2003-01-07')
(u'12/14/71', '1971-12-14')
(u'21 february 2000', '2000-02-21')
(u'3 august 1998', '1998-08-03')
(u'aug 30 1973', '1973-08-30')
(u'01.06.17', '2017-06-01')
(u'29 march 1999', '1999-03-29')
(u'saturday july 3 1993', '1993-07-03')
(u'monday april 7 1980', '1980-04-07')
(u'saturday june 17 1995', '1995-06-17')
(u'25 july 2011', '2011-07-25')
(u'11 feb 2004', '2004-02-11')
(u'march 21 1974', '1974-03-21')
(u'saturday may 11 1985', '1985-05-11')
(u'january 25 2015', '2015-01-25')
(u'april 13 1975', '1975-04-13')
(u'12 sep 2000', '2000-09-12')
(u'3 july 2012', '2012-07-03')
(u'10 may 2003', '2003-05-10')
(u'06 jan 2001', '2001-01-06')
(u'11/6/71', '1971-11-06')
(u'wednesday november 30 1983', '1983-11-30')
(u'sunday august 9 1981', '1981-08-09')
(u'wednesday september 22 1982', '1982-09-22')
(u'06 jun 2002', '2002-06-06')
(u'thursday october 3 1985', '1985-10-03')
(u'10/30/70', '1970-10-30')
(u'jul 31 1972', '1972-07-31')
(u'friday march 2 1990', '1990-03-02')
(u'saturday february 16 1991', '1991-02-16')
(u'5 apr 1997', '1997-04-05')
(u'tuesday june 18 1985', '1985-06-18')
(u'28 02 09', '2009-02-28')
(u'june 29 2015', '2015-06-29')
(u'december 10 2013', '2013-12-10')
(u'january 26 2016', '2016-01-26')
(u'tuesday june 28 1988', '1988-06-28')
(u'sunday december 1 1991', '1991-12-01')
(u'november 1 2012', '2012-11-01')
(u'saturday march 18 1978', '1978-03-18')
(u'january 1 2014', '2014-01-01')
(u'9 12 09', '2009-12-09')
(u'thursday january 10 1985', '1985-01-10')
(u'2/26/70', '1970-02-26')
(u'thursday november 16 1995', '1995-11-16')
(u'friday august 17 1979', '1979-08-17')
(u'monday march 5 1979', '1979-03-05')
(u'tuesday october 4 1988', '1988-10-04')
(u'friday november 17 1989', '1989-11-17')
(u'8 june 2006', '2006-06-08')
(u'19 jan 2004', '2004-01-19')
(u'23 05 09', '2009-05-23')
(u'29 jan 2008', '2008-01-29')
(u'friday august 4 1989', '1989-08-04')
(u'saturday january 31 1987', '1987-01-31')
(u'thursday august 11 1988', '1988-08-11')
(u'wednesday august 30 1995', '1995-08-30')
(u'friday august 20 1993', '1993-08-20')
(u'25 oct 1997', '1997-10-25')
(u'november 5 2014', '2014-11-05')
(u'thursday july 2 1987', '1987-07-02')
(u'18 jun 1997', '1997-06-18')
(u'wednesday may 16 1979', '1979-05-16')
(u'19 nov 1997', '1997-11-19')
(u'28 jun 1998', '1998-06-28')
(u'2 feb 2003', '2003-02-02')
(u'tuesday january 14 1992', '1992-01-14')
(u'monday september 27 1976', '1976-09-27')
(u'monday march 2 1987', '1987-03-02')
(u'thursday june 16 1983', '1983-06-16')
(u'friday march 2 1979', '1979-03-02')
(u'april 22 2015', '2015-04-22')
(u'15 may 2004', '2004-05-15')
(u'february 4 2016', '2016-02-04')
(u'february 22 2016', '2016-02-22')
(u'thursday may 5 1983', '1983-05-05')
(u'sunday november 11 1984', '1984-11-11')
(u'tuesday april 12 1994', '1994-04-12')
(u'saturday december 9 1989', '1989-12-09')
(u'saturday july 14 1990', '1990-07-14')
(u'february 14 1974', '1974-02-14')
(u'march 14 2015', '2015-03-14')
(u'27 january 2012', '2012-01-27')
(u'17 jul 1998', '1998-07-17')
(u'monday july 11 1988', '1988-07-11')
(u'27 march 1999', '1999-03-27')
(u'sunday may 26 1996', '1996-05-26')
(u'friday july 15 1988', '1988-07-15')
(u'24 august 2005', '2005-08-24')
(u'wednesday july 14 1982', '1982-07-14')
(u'thursday november 5 1987', '1987-11-05')
(u'21 07 10', '2010-07-21')
(u'30 january 2005', '2005-01-30')
(u'friday october 19 1979', '1979-10-19')
(u'wednesday may 7 1986', '1986-05-07')
(u'tuesday june 6 1995', '1995-06-06')
(u'tuesday october 18 1977', '1977-10-18')
(u'16 march 2006', '2006-03-16')
(u'16 may 2000', '2000-05-16')
(u'monday november 2 1987', '1987-11-02')
(u'monday march 3 1986', '1986-03-03')
(u'friday february 23 1979', '1979-02-23')
(u'wednesday june 27 1979', '1979-06-27')
(u'30 dec 1997', '1997-12-30')
(u'8 aug 1996', '1996-08-08')
(u'1 march 2011', '2011-03-01')
(u'4 03 09', '2009-03-04')
(u'23 september 2005', '2005-09-23')
(u'11 may 1998', '1998-05-11')
(u'tuesday july 14 1981', '1981-07-14')
(u'monday august 5 1991', '1991-08-05')
(u'october 21 2013', '2013-10-21')
(u'23 apr 2008', '2008-04-23')
(u'23 june 2006', '2006-06-23')
(u'april 15 2013', '2013-04-15')
(u'17 december 2010', '2010-12-17')
(u'wednesday june 16 1982', '1982-06-16')
(u'june 3 2014', '2014-06-03')
(u'05.08.17', '2017-08-05')
(u'3 december 1998', '1998-12-03')
(u'21 apr 1998', '1998-04-21')
(u'6 10 10', '2010-10-06')
(u'31 05 09', '2009-05-31')
(u'january 1 2014', '2014-01-01')
(u'saturday november 28 1992', '1992-11-28')
(u'6 august 2012', '2012-08-06')
(u'friday july 26 1991', '1991-07-26')
(u'friday october 4 1991', '1991-10-04')
(u'monday march 14 1994', '1994-03-14')
(u'27 march 1999', '1999-03-27')
(u'5/14/71', '1971-05-14')
(u'thursday march 19 1981', '1981-03-19')
(u'24 june 2011', '2011-06-24')
(u'8/27/71', '1971-08-27')
(u'june 18 2013', '2013-06-18')
(u'may 8 2015', '2015-05-08')
(u'sunday november 8 1992', '1992-11-08')
(u'june 11 2013', '2013-06-11')
(u'march 23 2014', '2014-03-23')
(u'saturday october 15 1988', '1988-10-15')
(u'18 dec 2007', '2007-12-18')
(u'saturday february 23 1980', '1980-02-23')
(u'saturday may 13 1989', '1989-05-13')
(u'wednesday june 28 1978', '1978-06-28')
(u'saturday january 19 1985', '1985-01-19')
(u'16.10.17', '2017-10-16')
(u'12 mar 2001', '2001-03-12')
(u'thursday december 12 1985', '1985-12-12')
(u'september 6 1974', '1974-09-06')
(u'29 october 2011', '2011-10-29')
(u'august 23 2015', '2015-08-23')
(u'17.05.18', '2018-05-17')
(u'jun 3 1972', '1972-06-03')
(u'7 10 08', '2008-10-07')
(u'sunday december 2 1984', '1984-12-02')
(u'friday august 3 1979', '1979-08-03')
(u'sunday january 30 1994', '1994-01-30')
(u'tuesday december 25 1984', '1984-12-25')
(u'july 7 2015', '2015-07-07')
(u'saturday june 4 1977', '1977-06-04')
(u'sunday november 8 1987', '1987-11-08')
(u'thursday february 23 1978', '1978-02-23')
(u'15 february 2005', '2005-02-15')
(u'thursday february 17 1994', '1994-02-17')
(u'monday november 1 1993', '1993-11-01')
(u'january 6 2014', '2014-01-06')
(u'18 november 1998', '1998-11-18')
(u'tuesday january 17 1995', '1995-01-17')
(u'29 february 2012', '2012-02-29')
(u'9 october 1998', '1998-10-09')
(u'january 13 2014', '2014-01-13')
(u'22 jul 2001', '2001-07-22')
(u'20 june 2005', '2005-06-20')
(u'tuesday november 14 1995', '1995-11-14')
(u'july 25 1975', '1975-07-25')
(u'6 august 1998', '1998-08-06')
(u'december 9 2012', '2012-12-09')
(u'25 nov 2006', '2006-11-25')
(u'november 8 2016', '2016-11-08')
(u'friday july 9 1982', '1982-07-09')
(u'13 february 2012', '2012-02-13')
(u'wednesday february 22 1978', '1978-02-22')
(u'8/25/70', '1970-08-25')
(u'11/16/71', '1971-11-16')
(u'tuesday february 19 1980', '1980-02-19')
(u'monday december 29 1980', '1980-12-29')
(u'13 may 2008', '2008-05-13')
(u'wednesday december 7 1994', '1994-12-07')
(u'9 october 2012', '2012-10-09')
(u'monday september 21 1987', '1987-09-21')
(u'monday may 2 1977', '1977-05-02')
(u'friday february 3 1984', '1984-02-03')
(u'saturday may 26 1979', '1979-05-26')
(u'09 aug 2007', '2007-08-09')
(u'december 9 2015', '2015-12-09')
(u'17 sep 1996', '1996-09-17')
(u'15 jan 1997', '1997-01-15')
(u'3 aug 1997', '1997-08-03')
(u'24 feb 2004', '2004-02-24')
(u'16 09 10', '2010-09-16')
(u'21 05 10', '2010-05-21')
(u'sunday october 27 1991', '1991-10-27')
(u'wednesday july 27 1994', '1994-07-27')
(u'monday october 5 1992', '1992-10-05')
(u'friday december 30 1977', '1977-12-30')
(u'aug 16 1973', '1973-08-16')
(u'30 03 10', '2010-03-30')
(u'thursday august 8 1991', '1991-08-08')
(u'friday june 16 1978', '1978-06-16')
(u'12/25/71', '1971-12-25')
(u'3/5/71', '1971-03-05')
(u'friday january 18 1991', '1991-01-18')
(u'21 dec 1997', '1997-12-21')
(u'november 19 2014', '2014-11-19')
(u'18 feb 2007', '2007-02-18')
(u'thursday september 28 1989', '1989-09-28')
(u'3 september 1998', '1998-09-03')
(u'12/30/70', '1970-12-30')
(u'thursday november 24 1977', '1977-11-24')
(u'friday june 28 1991', '1991-06-28')
(u'23 november 1998', '1998-11-23')
(u'14 mar 2003', '2003-03-14')
(u'january 10 2015', '2015-01-10')
(u'thursday august 13 1987', '1987-08-13')
(u'friday april 14 1989', '1989-04-14')
(u'monday november 22 1976', '1976-11-22')
(u'tuesday september 20 1983', '1983-09-20')
(u'monday april 23 1979', '1979-04-23')
(u'30 04 10', '2010-04-30')
(u'23 june 2000', '2000-06-23')
(u'29 jul 2008', '2008-07-29')
(u'mar 4 1973', '1973-03-04')
(u'tuesday may 4 1993', '1993-05-04')
(u'22 dec 2001', '2001-12-22')
(u'monday october 27 1980', '1980-10-27')
(u'wednesday february 21 1996', '1996-02-21')
(u'12/25/71', '1971-12-25')
(u'01 sep 2001', '2001-09-01')
(u'15 june 1999', '1999-06-15')
(u'21 jul 2001', '2001-07-21')
(u'1/2/72', '1972-01-02')
(u'17 sep 1996', '1996-09-17')
(u'thursday october 8 1987', '1987-10-08')
(u'wednesday april 15 1981', '1981-04-15')
(u'04.05.18', '2018-05-04')
(u'tuesday august 15 1995', '1995-08-15')
(u'9 aug 2004', '2004-08-09')
(u'thursday march 3 1994', '1994-03-03')
(u'august 11 2013', '2013-08-11')
(u'monday january 23 1978', '1978-01-23')
(u'saturday october 2 1993', '1993-10-02')
(u'28 apr 2004', '2004-04-28')
(u'tuesday june 13 1978', '1978-06-13')
(u'monday january 17 1977', '1977-01-17')
(u'sunday december 5 1993', '1993-12-05')
(u'wednesday april 10 1996', '1996-04-10')
(u'19 september 2012', '2012-09-19')
(u'16 jun 2001', '2001-06-16')
(u'sunday july 5 1981', '1981-07-05')
(u'saturday february 1 1986', '1986-02-01')
(u'12 10 10', '2010-10-12')
(u'saturday december 24 1977', '1977-12-24')
(u'sunday april 14 1985', '1985-04-14')
(u'sunday september 15 1985', '1985-09-15')
(u'4 june 1999', '1999-06-04')
(u'15 january 2005', '2005-01-15')
(u'saturday july 23 1977', '1977-07-23')
(u'wednesday april 10 1991', '1991-04-10')
(u'16 february 2012', '2012-02-16')
(u'02 mar 2002', '2002-03-02')
(u'21 february 2012', '2012-02-21')
(u'19 september 2011', '2011-09-19')
(u'wednesday september 27 1995', '1995-09-27')
(u'monday june 20 1983', '1983-06-20')
(u'wednesday july 10 1985', '1985-07-10')
(u'tuesday october 31 1995', '1995-10-31')
(u'april 12 2014', '2014-04-12')
(u'sunday september 4 1983', '1983-09-04')
(u'26 jun 2008', '2008-06-26')
(u'monday august 16 1982', '1982-08-16')
(u'sunday august 23 1981', '1981-08-23')
(u'aug 29 1972', '1972-08-29')
(u'monday march 27 1989', '1989-03-27')
(u'4 08 09', '2009-08-04')
(u'monday may 21 1990', '1990-05-21')
(u'1 june 2000', '2000-06-01')
(u'april 17 1974', '1974-04-17')
(u'friday may 3 1985', '1985-05-03')
(u'monday july 31 1995', '1995-07-31')
(u'8/31/70', '1970-08-31')
(u'tuesday september 6 1983', '1983-09-06')
(u'1 12 09', '2009-12-01')
(u'december 16 1974', '1974-12-16')
(u'01 jul 2008', '2008-07-01')
(u'16 feb 2001', '2001-02-16')
(u'tuesday april 7 1981', '1981-04-07')
(u'monday september 25 1978', '1978-09-25')
(u'3 oct 2002', '2002-10-03')
(u'25 sep 1997', '1997-09-25')
(u'thursday november 20 1986', '1986-11-20')
(u'24 06 09', '2009-06-24')
(u'9 sep 1996', '1996-09-09')
(u'june 24 2015', '2015-06-24')
(u'thursday october 30 1986', '1986-10-30')
(u'tuesday september 24 1991', '1991-09-24')
(u'29 09 10', '2010-09-29')
(u'thursday january 31 1985', '1985-01-31')
(u'28 may 2007', '2007-05-28')
(u'26 mar 2008', '2008-03-26')
(u'18 feb 2002', '2002-02-18')
(u'20 june 1999', '1999-06-20')
(u'19 july 2012', '2012-07-19')
(u'thursday july 6 1978', '1978-07-06')
(u'30.11.16', '2016-11-30')
(u'13 june 2012', '2012-06-13')
(u'monday january 12 1987', '1987-01-12')
(u'2/16/70', '1970-02-16')
(u'09.12.18', '2018-12-09')
(u'october 1 2013', '2013-10-01')
(u'22 apr 2001', '2001-04-22')
(u'04.09.17', '2017-09-04')
(u'thursday august 25 1977', '1977-08-25')
(u'wednesday december 19 1984', '1984-12-19')
(u'tuesday may 2 1989', '1989-05-02')
(u'sunday february 12 1978', '1978-02-12')
(u'wednesday august 30 1978', '1978-08-30')
(u'16 february 2012', '2012-02-16')
(u'tuesday january 10 1995', '1995-01-10')
(u'friday december 22 1989', '1989-12-22')
(u'saturday january 6 1990', '1990-01-06')
(u'17 apr 2004', '2004-04-17')
(u'17 may 2004', '2004-05-17')
(u'tuesday july 25 1989', '1989-07-25')
(u'january 21 1975', '1975-01-21')
(u'wednesday november 6 1985', '1985-11-06')
(u'monday september 24 1984', '1984-09-24')
(u'friday october 6 1978', '1978-10-06')
(u'11 september 1998', '1998-09-11')
(u'october 11 2016', '2016-10-11')
(u'3 may 1998', '1998-05-03')
(u'jul 20 1972', '1972-07-20')
(u'thursday october 28 1976', '1976-10-28')
(u'october 4 2015', '2015-10-04')
(u'01.11.17', '2017-11-01')
(u'saturday july 2 1988', '1988-07-02')
(u'saturday march 21 1992', '1992-03-21')
(u'tuesday february 8 1983', '1983-02-08')
(u'17 apr 2003', '2003-04-17')
(u'june 2 2014', '2014-06-02')
(u'1 september 1998', '1998-09-01')
(u'10 aug 2004', '2004-08-10')
(u'7/20/70', '1970-07-20')
(u'19 february 2012', '2012-02-19')
(u'8 jan 1997', '1997-01-08')
(u'1/4/72', '1972-01-04')
(u'monday may 26 1986', '1986-05-26')
(u'11 february 2006', '2006-02-11')
(u'tuesday january 22 1980', '1980-01-22')
(u'4 05 09', '2009-05-04')
(u'10 january 2000', '2000-01-10')
(u'01 jul 2001', '2001-07-01')
(u'august 19 2013', '2013-08-19')
(u'july 17 2014', '2014-07-17')
(u'friday june 14 1985', '1985-06-14')
(u'saturday september 25 1976', '1976-09-25')
(u'15 jan 2004', '2004-01-15')
(u'10 august 2006', '2006-08-10')
(u'sunday june 5 1983', '1983-06-05')
(u'sunday december 17 1989', '1989-12-17')
(u'31 august 2011', '2011-08-31')
(u'thursday march 2 1978', '1978-03-02')
(u'october 24 1974', '1974-10-24')
(u'december 29 2015', '2015-12-29')
(u'7/14/70', '1970-07-14')
(u'friday may 2 1980', '1980-05-02')
(u'1/9/71', '1971-01-09')
(u'wednesday february 19 1992', '1992-02-19')
(u'11 jan 2004', '2004-01-11')
(u'tuesday october 28 1980', '1980-10-28')
(u'thursday april 1 1976', '1976-04-01')
(u'saturday august 6 1994', '1994-08-06')
(u'tuesday june 17 1980', '1980-06-17')
(u'24 nov 1997', '1997-11-24')
(u'tuesday december 18 1990', '1990-12-18')
(u'wednesday december 15 1982', '1982-12-15')
(u'18 12 09', '2009-12-18')
(u'saturday december 18 1982', '1982-12-18')
(u'12 may 1997', '1997-05-12')
(u'12/4/71', '1971-12-04')
(u'19 august 2012', '2012-08-19')
(u'friday january 5 1979', '1979-01-05')
(u'29 apr 2002', '2002-04-29')
(u'04.08.18', '2018-08-04')
(u'wednesday october 29 1980', '1980-10-29')
(u'25 dec 2003', '2003-12-25')
(u'jun 19 1973', '1973-06-19')
(u'february 9 2015', '2015-02-09')
(u'09 may 2002', '2002-05-09')
(u'4 september 2004', '2004-09-04')
(u'jan 15 1972', '1972-01-15')
(u'monday october 10 1988', '1988-10-10')
(u'20 february 1999', '1999-02-20')
(u'wednesday july 7 1982', '1982-07-07')
(u'09 dec 2006', '2006-12-09')
(u'29 sep 1997', '1997-09-29')
(u'wednesday may 14 1980', '1980-05-14')
(u'21 may 2012', '2012-05-21')
(u'04 aug 2001', '2001-08-04')
(u'wednesday march 10 1982', '1982-03-10')
(u'sunday february 1 1987', '1987-02-01')
(u'13 sep 2002', '2002-09-13')
(u'28 apr 2001', '2001-04-28')
(u'tuesday february 26 1991', '1991-02-26')
(u'05 aug 2002', '2002-08-05')
(u'dec 27 1972', '1972-12-27')
(u'thursday march 19 1981', '1981-03-19')
(u'september 12 1974', '1974-09-12')
(u'15 aug 2003', '2003-08-15')
(u'15 april 2005', '2005-04-15')
(u'22 jul 2004', '2004-07-22')
(u'16 oct 2000', '2000-10-16')
(u'monday june 16 1986', '1986-06-16')
(u'thursday october 13 1994', '1994-10-13')
(u'tuesday november 13 1990', '1990-11-13')
(u'monday january 17 1977', '1977-01-17')
(u'10 09 09', '2009-09-10')
(u'wednesday july 21 1976', '1976-07-21')
(u'monday october 10 1983', '1983-10-10')
(u'22 may 2006', '2006-05-22')
(u'9 april 2012', '2012-04-09')
(u'october 2 1974', '1974-10-02')
(u'02 aug 2007', '2007-08-02')
(u'thursday october 15 1981', '1981-10-15')
(u'september 21 2014', '2014-09-21')
(u'november 3 1974', '1974-11-03')
(u'28.06.18', '2018-06-28')
(u'friday august 19 1983', '1983-08-19')
(u'thursday july 1 1982', '1982-07-01')
(u'13 08 10', '2010-08-13')
(u'sunday june 1 1986', '1986-06-01')
(u'friday december 9 1977', '1977-12-09')
(u'wednesday november 7 1984', '1984-11-07')
(u'september 23 2015', '2015-09-23')
(u'12 jan 1997', '1997-01-12')
(u'tuesday november 2 1993', '1993-11-02')
(u'5 jul 1997', '1997-07-05')
(u'may 12 1975', '1975-05-12')
(u'8 sep 1997', '1997-09-08')
(u'4 november 2004', '2004-11-04')
(u'2/13/70', '1970-02-13')
(u'tuesday february 13 1979', '1979-02-13')
(u'june 2 2015', '2015-06-02')
(u'friday february 18 1994', '1994-02-18')
(u'thursday december 2 1982', '1982-12-02')
(u'3 december 1999', '1999-12-03')
(u'wednesday april 19 1989', '1989-04-19')
(u'jul 3 1972', '1972-07-03')
(u'september 10 2016', '2016-09-10')
(u'wednesday december 17 1986', '1986-12-17')
(u'wednesday october 7 1992', '1992-10-07')
(u'thursday august 27 1987', '1987-08-27')
(u'5 08 09', '2009-08-05')
(u'sunday september 6 1987', '1987-09-06')
(u'friday may 30 1986', '1986-05-30')
(u'tuesday february 4 1992', '1992-02-04')
(u'31.08.17', '2017-08-31')
(u'february 1 2014', '2014-02-01')
(u'aug 21 1972', '1972-08-21')
(u'july 17 2015', '2015-07-17')
(u'4 april 1999', '1999-04-04')
(u'tuesday january 25 1977', '1977-01-25')
(u'tuesday january 21 1986', '1986-01-21')
(u'24 dec 2002', '2002-12-24')
(u'october 7 2015', '2015-10-07')
(u'27 mar 2008', '2008-03-27')
(u'friday october 10 1986', '1986-10-10')
(u'wednesday september 29 1993', '1993-09-29')
(u'26 sep 2007', '2007-09-26')
(u'3 december 1998', '1998-12-03')
(u'wednesday march 13 1996', '1996-03-13')
(u'nov 21 1972', '1972-11-21')
(u'wednesday april 12 1978', '1978-04-12')
(u'friday july 9 1976', '1976-07-09')
(u'wednesday december 17 1980', '1980-12-17')
(u'18 jan 2004', '2004-01-18')
(u'31 oct 1996', '1996-10-31')
(u'tuesday june 8 1993', '1993-06-08')
(u'16 mar 1997', '1997-03-16')
(u'friday january 6 1978', '1978-01-06')
(u'thursday march 9 1978', '1978-03-09')
(u'6 march 2000', '2000-03-06')
(u'02.08.17', '2017-08-02')
